#name	zcmb	zhel	dz	mb	dmb	x1	dx1	color	dcolor	3rdvar	d3rdvar	cov_m_s	cov_m_c	cov_s_c	set	ra	dec	biascor
06D2fb	0.12531	0.12531	0.	19.4684	0.10355	0	0	0	0	0	0	0	0	0	0	0	0
744	0.12679	0.12679	0.	19.5429	0.11965	0	0	0	0	0	0	0	0	0	0	0	0
1241	0.08859	0.08859	0.	18.64345	0.10605	0	0	0	0	0	0	0	0	0	0	0	0
1371	0.11782	0.11782	0.	19.19345	0.0991	0	0	0	0	0	0	0	0	0	0	0	0
1794	0.14055	0.14055	0.	19.871	0.11635	0	0	0	0	0	0	0	0	0	0	0	0
2102	0.094	0.094	0.	18.889	0.10285	0	0	0	0	0	0	0	0	0	0	0	0
2635	0.14167	0.14167	0.	19.79675	0.1047	0	0	0	0	0	0	0	0	0	0	0	0
2916	0.1229	0.1229	0.	19.3948	0.11665	0	0	0	0	0	0	0	0	0	0	0	0
2992	0.1262	0.1262	0.	19.36855	0.113	0	0	0	0	0	0	0	0	0	0	0	0
5549	0.12005	0.12005	0.	19.36835	0.1021	0	0	0	0	0	0	0	0	0	0	0	0
6057	0.06641	0.06641	0.	17.9881	0.1134	0	0	0	0	0	0	0	0	0	0	0	0
6558	0.05715	0.05715	0.	17.65695	0.1072	0	0	0	0	0	0	0	0	0	0	0	0
7147	0.10902	0.10902	0.	19.1721	0.10285	0	0	0	0	0	0	0	0	0	0	0	0
8921	0.14393	0.14393	0.	19.83575	0.113	0	0	0	0	0	0	0	0	0	0	0	0
12779	0.07883	0.07883	0.	18.5397	0.12205	0	0	0	0	0	0	0	0	0	0	0	0
12781	0.08328	0.08328	0.	18.7438	0.11605	0	0	0	0	0	0	0	0	0	0	0	0
12898	0.08286	0.08286	0.	18.5179	0.1055	0	0	0	0	0	0	0	0	0	0	0	0
12950	0.08162	0.08162	0.	18.511	0.10425	0	0	0	0	0	0	0	0	0	0	0	0
13005	0.12631	0.12631	0.	19.58525	0.13485	0	0	0	0	0	0	0	0	0	0	0	0
13038	0.1028	0.1028	0.	19.16175	0.1443	0	0	0	0	0	0	0	0	0	0	0	0
